GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000120784,Century Steel Khyber plant,Century Steel Pte Ltd,Pakistan,Asia Pacific,34.072714,72.141584,,
P100000120690,Ch'ollima Steel Complex steel plant,Government of North Korea,North Korea,Asia Pacific,38.926348,125.582628,752.0,70.0
P100000120687,Ch'ŏngjin Ironworks steel plant,Government of North Korea,North Korea,Asia Pacific,41.777936,129.792399,2000.0,84.0
P100000121225,Chadormalu Mining and Industrial Company Yazd steel plant,Chadormalu Mining & Industrial Co,Iran,Middle East,32.387328,53.747706,1200.0,9.0
P100001023452,Chan May green steel plant,unknown,Vietnam,Asia Pacific,16.3354,108.0248,,
P100001064089,Changli Xingguo Precision Machinery Co Ltd,Changli Xingguo Precision Machinery Co Ltd,China,Asia Pacific,39.704921,118.897417,0.0,30.47
P100000120194,Changshu Longteng Special Steel Co Ltd,Changshu Longteng Special Steel Co Ltd,China,Asia Pacific,31.723833,120.835685,3203.0,31.75
P100000120265,Changzhi Xingbao Steel Co Ltd,Lucheng Xingbao Iron & Steel Co Ltd,China,Asia Pacific,36.332449,113.15509,1900.0,22.85
P100000120201,Changzhou Eastern Special Steel Co Ltd,Changzhou Dongfang Special Steel Co Ltd,China,Asia Pacific,31.602554,119.724256,3300.0,16.09
P100000120986,Charter Steel Cleveland plant,Charter Manufacturing Co Inc,United States,North America,41.443147,-81.659911,635.0,20.0
P100000120985,Charter Steel Saukville plant,Charter Manufacturing Co Inc,United States,North America,43.400533,-87.9482,570.0,35.0
P100000120105,Chengde Iron and Steel Group Co Ltd,Chengde Street Ltd,China,Asia Pacific,40.947707,117.719747,8000.0,72.0
P100000120123,Chengde Jianlong Special Steel Co Ltd,Chengde Jianlong SPECIAL Steel Co Ltd,China,Asia Pacific,40.515035,117.596071,4400.0,25.0
P100000120154,Chengde Shengfeng Iron and Steel Co Ltd,Chengde Shengfeng Iron & Steel Co Ltd,China,Asia Pacific,40.622466,118.490845,,17.0
P100000120153,Chengde Zhaofeng Steel Group Co Ltd,Chengde Zhaofeng Steel Group Co Ltd,China,Asia Pacific,40.593875,118.633334,,19.0
P100000120329,Chengdu Changfeng Iron and Steel Group Co Ltd,Chengdu Changfeng Steel Group Co Ltd,China,Asia Pacific,31.031921,103.672956,1500.0,56.0
P100000120279,Chengyu Vanadium and Titanium Technology Co Ltd,Chengyu Vanadium & Titanium Technology Co Ltd,China,Asia Pacific,29.732143,104.504339,4050.0,19.46
